Ich schlage den Ball.;Uderzam piłkę.
Gestern schlug er seinen Gegner im Spiel.;Wczoraj pokonał swojego przeciwnika w grze.
Sie hat das Glas aus Versehen geschlagen.;Ona przypadkowo stłukła szkło.
Ich schließe die Tür.;Zamykam drzwi.
Gestern schloss er das Buch nach dem Lesen.;Wczoraj zamknął książkę po przeczytaniu.
Sie haben das Geschäft für den Tag geschlossen.;Zamknęli sklep na ten dzień.
Ich schmeiße den Ball.;Rzucam piłkę.
Gestern schmiss er den Müll weg.;Wczoraj wyrzucił śmieci.
Sie haben die alten Sachen weggeschmissen.;Wyrzucili stare rzeczy.
Ich schneide das Brot.;Kroję chleb.
Gestern schnitt er das Gemüse für das Abendessen.;Wczoraj pokroił warzywa na kolację.
Sie haben die Karte in kleine Stücke geschnitten.;Pokroili kartkę na małe kawałki.
Ich schreibe einen Brief.;Piszę list.
Gestern schrieb sie in ihr Tagebuch.;Wczoraj pisała w swoim dzienniku.
Sie haben viele Gedichte geschrieben.;Napisali wiele wierszy.
Ich schreie vor Freude.;Krzyczę z radości.
Gestern schrie er vor Schmerz.;Wczoraj krzyczał z bólu.
Sie haben aus Angst geschrien.;Krzyczeli ze strachu.
Ich schweige in der Bibliothek.;Milczę w bibliotece.
Gestern schwieg er während des Meetings.;Wczoraj milczał podczas zebrania.
Sie haben das Geheimnis gut bewahrt und geschwiegen.;Dobrze zachowali tajemnicę i milczeli.
