Ich esse gern Pizza.;Lubię jeść pizzę.
Gestern aß er Spaghetti.;Wczoraj jadł spaghetti.
Sie hat bereits zu Mittag gegessen.;Ona już zjadła obiad.
Ich fahre mit dem Fahrrad zur Arbeit.;Do pracy jeżdżę rowerem.
Gestern fuhr er mit dem Zug.;Wczoraj jechał pociągiem.
Wir sind letzten Sommer nach Italien gefahren.;Latem ubiegłego roku pojechaliśmy do Włoch.
Die Blätter fallen im Herbst.;Liście spadają jesienią.
Gestern fiel der Regen die ganze Nacht.;Wczoraj deszcz padał całą noc.
Mir ist ein Stein in den Bach gefallen.;Kamień wpadł mi do strumienia.
Ich fange den Ball.;Łapię piłkę.
Gestern fing er einen Fisch.;Wczoraj złapał rybę.
Sie haben das fliegende Insekt gefangen.;Złapali to latające owady.
Ich finde den Schlüssel nicht.;Nie mogę znaleźć klucza.
Gestern fand sie ihr verlorenes Handy.;Wczoraj znalazła swoją zgubioną komórkę.
Wir haben die Lösung gefunden.;Znaleźliśmy rozwiązanie.
Die Vögel fliegen im Himmel.;Ptaki fruwają na niebie.
Gestern flog er nach New York.;Wczoraj poleciał do Nowego Jorku.
Sie sind schon oft ins Ausland geflogen.;Oni już wiele razy lecieli za granicę.
Die Menschen flohen vor dem Krieg.;Ludzie uciekali przed wojną.
Gestern floh sie vor einem wilden Tier.;Wczoraj uciekała przed dzikim zwierzęciem.
Er ist vor langer Zeit aus seinem Heimatland geflohen.;Dawno temu uciekł ze swojego ojczyzny.
