Der Fluss fließt ruhig.;Rzeka płynie spokojnie.
Gestern floss das Wasser schnell.;Wczoraj woda płynęła szybko.
Das hat lange Zeit geflossen.;To płynęło przez długi czas.
Die Ziege frisst Heu.;Koza je siano.
Gestern fraß der Hund sein Futter.;Wczoraj pies zjadł swoje jedzenie.
Der Wolf hat das ganze Huhn gefressen.;Wilk zjadł całą kurę.
Im Winter friere ich oft.;Zimą często marznę.
Gestern fror sie bei der Kälte.;Wczoraj marzła w zimnie.
Wir haben draußen gefroren.;Marzliśmy na zewnątrz.
Die Katze hat drei Kätzchen geboren.;Kotka urodziła trzy kotki.
Gestern hat die Kuh ein Kalb geboren.;Wczoraj krowa urodziła cielaka.
Die Frau hat gesund geboren.;Kobieta urodziła zdrowe dziecko.
Ich gebe dir mein Buch.;Daję ci moją książkę.
Gestern gab er mir Blumen.;Wczoraj dał mi kwiaty.
Sie hat uns viele Ratschläge gegeben.;Ona dała nam wiele rad.
Ich gehe zum Supermarkt.;Idę do supermarketu.
Gestern ging sie spazieren.;Wczoraj poszła na spacer.
Wir sind gestern lange gegangen.;Wczoraj poszliśmy długo.
Es gelingt mir, Deutsch zu sprechen.;Uda mi się mówić po niemiecku.
Gestern gelang ihm das schwierige Puzzle.;Wczoraj udało mu się ułożyć trudną układankę.
Uns ist ein leckeres Essen gelungen.;Udało nam się ugotować pyszne danie.
